brand,brand_slug,model,model_slug,default_category,default_engine_cc,fuel_type,model_status,market_origins,status
Aprilia,aprilia,RS 125,rs-125,High Capacity Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RS 150,rs-150,High Capacity Bikes,150,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RS 250,rs-250,High Capacity Bikes,250,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RS 457,rs-457,High Capacity Bikes,457,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RS 660,rs-660,High Capacity Bikes,660,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RSV4,rsv4,High Capacity Bikes,1100,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,RX 125,rx-125,Trail Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SR 125,sr-125,Classic Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SR 150,sr-150,Street Bikes,150,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SR 160,sr-160,Street Bikes,160,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SX 125,sx-125,Trail Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SXR 125,sxr-125,Trail Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,SXR 160,sxr-160,Trail Bikes,160,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,Tuono 125,tuono-125,Street Bikes,125,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,Tuono 457,tuono-457,Street Bikes,457,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,Tuono 660,tuono-660,High Capacity Bikes,660,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Aprilia,aprilia,Tuono V4,tuono-v4,High Capacity Bikes,1100,Petrol,REVIEW_REQUIRED,GLOBAL|IMPORT,ACTIVE
Ather,ather,450S,450s,Electric Bikes,,Electric,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Ather,ather,450X,450x,Electric Bikes,,Electric,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
Ather,ather,Rizta,rizta,Electric Bikes,,Electric,REVIEW_REQUIRED,INDIA|SRI_LANKA_USED,ACTIVE
